Nombre,Periodos parlamentarios,Comunas,Distrito,Región,Período Actual,Partido,Bancada,Email
Raúl Soto Mardones,"2018-2022, 2022-2026","Mostazal, Graneros, Requínoa, Rancagua, Quinta de Tilcoco, Olivar, Codegua, Machalí, Doñihue, Rengo, Malloa, Coinco, Coltauco",Nº 15,Región del Libertador General Bernardo O' Higgins,2022-2026,,Partido Por la Democracia,raul.soto@congreso.cl
Alexis Sepúlveda Soto,"2018-2022, 2022-2026","Sagrada Familia, Hualañé, Curepto, Teno, Talca, Empedrado, Pelarco, San Rafael, Romeral, Molina, Curicó, Licantén, Vichuquén, Rauco, Constitución, Pencahue, San Clemente, Río Claro, Maule",Nº 17,Región del Maule,2022-2026,,Comité Radical - Liberal,alexis.sepulveda@congreso.cl
Claudia Mix Jiménez,"2018-2022, 2022-2026","Quilicura, Pudahuel, Estación Central, Colina, Lampa , Cerrillos, Maipú, Tiltil",Nº 8,Región Metropolitana de Santiago,2022-2026,,"Comité Frente Amplio RD, Comunes y Convergencia Social",claudia.mix@congreso.cl
María Candelaria Acevedo Sáez,2022-2026,"Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",Nº 20,Región del Bío Bío,2022-2026,,"Comité Comunista, Federación Regionalista Verde Social e Independientes",maria.acevedo@congreso.cl
Eric Aedo Jeldres,2022-2026,"Hualpén, Tomé, Penco, Concepción, Hualqui, Chiguayante, Florida, San Pedro de la Paz, Coronel, Santa Juana, Talcahuano",Nº 20,Región del Bío Bío,2022-2026,,Demócrata Cristiano,eric.aedo@congreso.cl
Yovana Ahumada Palma,2022-2026,"Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",Nº 3,Región de Antofagasta,2022-2026,,Comité Partido de la Gente,yovana.ahumada@congreso.cl
Jorge Alessandri Vergara,"2018-2022, 2022-2026","Santiago, Providencia, San Joaquín, La Granja, Ñuñoa, Macul",Nº 10,Región Metropolitana de Santiago,2022-2026,,Unión Demócrata Independiente,jorge.alessandri@congreso.cl
René Alinco Bustos,"2006-2010, 2010-2014, 2018-2022, 2022-2026","Coyhaique, Aysén, Chile Chico, O'Higgins, Cochrane, Guaitecas, Cisnes, Lago Verde, Tortel, Río Ibáñez",Nº 27,Región de Aysén del General Carlos Ibáñez del Campo,2022-2026,,Partido Por la Democracia,rene.alinco@congreso.cl
Jaime Araya Guerrero,2022-2026,"Sierra Gorda, San Pedro de Atacama, Antofagasta, Taltal, Calama, Tocopilla, María Elena, Ollagüe, Mejillones",Nº 3,Región de Antofagasta,2022-2026,,Partido Por la Democracia,jaime.araya@congreso.cl
Cristián Araya Lerdo de Tejada,2022-2026,"Lo Barnechea, La Reina, Peñalolén, Vitacura, Las Condes",Nº 11,Región Metropolitana de Santiago,2022-2026,,Comité Republicanos,cristian.araya@congreso.cl
