votes,id,suggestion,author,date_created,last_upvoted,comments,status
17,169247,Fix ig integration,Anonymous,"13 Mar, 2021",yesterday,2,Bug
17,164972,World wide distance,Cole,"02 Mar, 2021",03 Jul,2,Under consideration
17,173851,Limit new matches based on how often you respond to the ones you already have,Josh,"26 Mar, 2021",2 days ago,0,Under consideration
16,188769,Filter returned missionary,Matthew S. Mahoney,"03 Jun, 2021",today,11,Under consideration
16,194118,Add education level,Holly,"26 Jun, 2021",today,3,Under consideration
16,165321,Minimum character count in bio,Qaseem Maajid-Bey,"02 Mar, 2021",09 Jul,2,Not planned
16,172209,Home screen should be messaging,Dan,"21 Mar, 2021",22 May,0,Under consideration
15,199535,Fix photo sizing,Kyra,"26 Jul, 2021",today,4,Under consideration
15,192610,Add a section asking about covid vaccination status,Chad,"19 Jun, 2021",yesterday,4,Under consideration
15,179087,Add more then 2 letters for the state or country better geographic clarity pleas,James McLean,"14 Apr, 2021",yesterday,0,Under consideration
15,175897,Publish dating market statistics for an area,Trent,"02 Apr, 2021",09 Jul,0,Under consideration
15,173770,Party room,Braeden,"25 Mar, 2021",09 Jul,0,Under consideration
15,164969,Scroll bar,Cole,"02 Mar, 2021",03 Jul,0,Under consideration
14,179930,Timedate stamp on messages,Howie,"18 Apr, 2021",09 Jul,1,Under consideration
13,186715,Allow those who you have liked to see you liked them,Anonymous,"21 May, 2021",09 Jul,2,Planned
13,194685,See at least 1 person per week,Micah Conover,"29 Jun, 2021",2 days ago,0,Done
13,192772,Be able to set your location to your home city while traveling,Jacob Coleman,"19 Jun, 2021",09 Jul,0,Done
13,173521,Questionnaire,Jared,"25 Mar, 2021",09 Jul,0,Not planned
12,196148,Filter unwanted names,Anne Lester,"06 Jul, 2021",today,6,Not planned
12,176295,Metric vs imperial on height,Anonymous,"04 Apr, 2021",07 Jul,3,Planned
12,200637,Give stats on your profile percentageswhats successful,Todd,"29 Jul, 2021",09 Jul,2,Under consideration
12,282931,Family tree app linked to this,Hailey,26 Feb,09 Jul,1,Under consideration
12,201410,Rollover notes,Barry,"03 Aug, 2021",09 Jul,1,Under consideration
12,198341,Filter gym activity,Shelby,"17 Jul, 2021",08 Jun,1,Under consideration
12,173095,Multiple search locations,Frank the Dog from Men In Black 2,"23 Mar, 2021",07 Jul,1,Under consideration
12,202149,React to messages sent,Kristina Cannon,"09 Aug, 2021",09 Jul,0,Under consideration
12,176239,Pause profile,Amanda,"04 Apr, 2021",03 Jul,0,Done
12,175898,Option for more detailed profile info,Trent,"02 Apr, 2021",07 Jul,0,Under consideration
11,177626,Repeal height filter,Aaron,"09 Apr, 2021",08 Jul,8,Under consideration
11,186181,Optional profile feedback,Jeremy,"18 May, 2021",yesterday,4,Under consideration
11,202557,Message preview in notification,Sterling,"10 Aug, 2021",09 Jul,2,Under consideration
11,186677,Date ideas,Nathaniel Sparks,"20 May, 2021",yesterday,2,Under consideration
11,211694,Reset all downswipes from people who like you,Tyler Alley,"05 Sep, 2021",yesterday,1,Under consideration
11,188116,Get rid of say hi,J,"31 May, 2021",08 Jul,1,Under consideration
11,193363,Reasons for swiping,Holly,"23 Jun, 2021",2 days ago,0,Under consideration
10,189884,Verified profiles filter for them,Jeramy,"08 Jun, 2021",09 Jul,6,Under consideration
10,266157,The new about me section is too short,Liz,"27 Dec, 2021",09 Jul,4,Under consideration
10,189906,Make the distance slider better,Ryan,"08 Jun, 2021",2 days ago,3,Under consideration
10,187180,Purge users,Bparks,"25 May, 2021",07 Jul,0,Done
10,186991,Check to mark your divorce is finalized,A,"23 May, 2021",2 days ago,0,Not planned
9,173511,No gun photos,Lj,"24 Mar, 2021",07 Jul,16,Under consideration
9,186730,Reviews would be fun,j the Zuni,"21 May, 2021",11 Jun,9,Not planned
9,174229,Social media section,Khiler,"27 Mar, 2021",05 Jan,5,Done
9,200613,No dead animals,Kelsi,"28 Jul, 2021",2 days ago,2,Under consideration
9,184715,Show which chats you havent replied to,Alex,"11 May, 2021",07 Jul,1,Planned
9,307193,Lower subscription price,Bay,11 Jun,yesterday,0,Not planned
9,225427,Clarify interested in,N.,"18 Oct, 2021",09 Jul,0,Under consideration
9,217248,Unmatch feedback,R,"22 Sep, 2021",09 Jul,0,Under consideration
9,210998,Superlike feature,alberthallingtonianianan,"31 Aug, 2021",2 days ago,0,In Development
9,164959,Tagging the other people in the photo,Alex,"02 Mar, 2021",08 Jul,0,Not planned
8,187103,Reverify people regularly,Isabella,"24 May, 2021",03 Jul,1,Done
8,198728,Read receipt for notes,Jeff,"20 Jul, 2021",2 days ago,0,Under consideration
8,185701,Ward hopping,Lindsay,"16 May, 2021",07 Jul,0,Under consideration
7,190597,Filter by region,Matt,"10 Jun, 2021",04 Jun,12,Done
7,194489,Filter modesty,Mitch,"29 Jun, 2021",08 Jul,5,Not planned
7,214101,Hair and eye color filter,Joe,"14 Sep, 2021",09 Jul,3,Under consideration
7,185111,Healthy fitness level filter,Anonymous,"13 May, 2021",11 Jun,3,Under consideration
7,169315,Picture suggestions,Jake,"14 Mar, 2021","26 Jul, '21",3,Done
7,222916,Another ui overhaul,Ammon,"09 Oct, 2021",03 Jul,2,Under consideration
7,190987,Account vacationtake a break mode,Adam Proctor,"13 Jun, 2021","17 Dec, '21",2,Done
7,169853,I dont like you,Alec,"15 Mar, 2021",07 Jul,2,Not planned
7,232162,More info snippets,Sid,"12 Nov, 2021",09 Jul,1,Planned
7,196166,Change location,Chantelle,"06 Jul, 2021",27 May,1,Done
7,183681,Hide me from certain names,Halsey W,"06 May, 2021",08 Jul,1,Not planned
7,284319,Inability to screenshot,Lily,06 Mar,2 days ago,0,Under consideration
7,223698,Be notified when a match decides to say goodbye,DJ,"11 Oct, 2021",07 Jul,0,Under consideration
7,211333,Liked image,Payton,"02 Sep, 2021",09 Jul,0,In Development
7,201202,Premium lite,Josh,"02 Aug, 2021",17 Feb,0,Under consideration
7,192814,Remove unnecessary notifications,Mac,"19 Jun, 2021",01 May,0,Bug
6,201800,Add a lifetime membership option,T,"05 Aug, 2021",30 Jun,3,Under consideration
6,175219,Down to chat toggle,Jairon Terrero,"30 Mar, 2021",07 Jul,3,Under consideration
6,210999,Match guide,alberthallingtonianianan,"31 Aug, 2021",07 Jul,2,Under consideration
6,205322,Matchmaking mode,David,"28 Aug, 2021",11 Jun,2,Not planned
6,200820,Edit sent notes,Sarah Campbell,"30 Jul, 2021",03 Jul,2,Under consideration
6,189876,Mix in people that like me,TJ,"08 Jun, 2021",2 days ago,2,Done
6,196140,Sort matches by distance,Ddport,"06 Jul, 2021",07 Jul,1,Under consideration
6,188118,More profile prompts,J,"31 May, 2021",27 May,1,Planned
6,165097,Filter instagram profile,Leonard,"02 Mar, 2021","31 Jul, '21",1,Not planned
6,205697,Dont erase chats,Mike,"29 Aug, 2021",2 days ago,0,Done
6,203302,Unblock,Keith,"16 Aug, 2021",07 Jul,0,Under consideration
6,200935,Link friends mutual profiles to one another for easy browsing,Sam,"31 Jul, 2021",2 days ago,0,Under consideration
6,195253,Pause locations,Josh,"02 Jul, 2021",03 Jul,0,Done
6,190895,Refresh messages within the messages page,Brett,"12 Jun, 2021",03 Jul,0,Under consideration
5,188240,X miles away,Madeleine,"01 Jun, 2021",03 Jul,3,Not planned
5,281412,Force users to complete verification,Michael,20 Feb,09 Jul,1,Under consideration
5,253900,Background check every profile claim,Joel,"04 Dec, 2021",25 May,1,Not planned
5,211582,See who took a screenshot,Shei,"04 Sep, 2021",08 Jul,1,Not planned
5,194908,Let me change my name,Jessica/Jessie,"01 Jul, 2021","06 Dec, '21",1,Under consideration
5,188038,Change ux to incorporate text and pictures,Joshua,"30 May, 2021","04 Sep, '21",1,Under consideration
5,308444,Competitive price compared to other dating apps like 499mo,Tim W,16 Jun,07 Jul,0,Not planned
5,284245,Change the screen after a match,Aaron,05 Mar,09 Jul,0,Planned
5,269055,Replace gloomy cloud image,Jonathan,05 Jan,09 Jul,0,Planned
5,268925,Texting vs in person,Sarah,05 Jan,08 Jul,0,Under consideration
5,224556,Match map,Cory,"13 Oct, 2021",07 Jul,0,Under consideration
5,223700,Like declined,DJ,"11 Oct, 2021",today,0,Under consideration
5,221447,Stop repeating,Scott,"03 Oct, 2021",03 Jul,0,Bug
5,218963,Allow users to hide read receipts,Michael Allen,"26 Sep, 2021",07 Jul,0,Under consideration
5,197187,Remove unnecessary notifications,Mac,"09 Jul, 2021",27 May,0,Planned
5,188057,Reset undo removed deleted match matches,Dallin,"30 May, 2021",23 Feb,0,Not planned
5,183418,List location next to name in matches and archives,Brett,"04 May, 2021",27 May,0,Under consideration
4,264559,New layout problematic,Mikki,"22 Dec, 2021",17 Feb,6,Done
4,203999,Recommend a swipe to a friend,Dea,"21 Aug, 2021",26 Mar,4,Done
4,285645,Photo descriptions more photos,Bartholemew,13 Mar,03 Jul,2,Under consideration
4,224559,Exclude certain locations,Cory,"13 Oct, 2021",07 Jul,2,Under consideration
4,198315,Match reminder,Garret,"17 Jul, 2021","17 Dec, '21",2,Under consideration
4,192905,Filter matches by location,Dax,"20 Jun, 2021",07 Jul,2,Done
4,184394,Have mutual make leaving feedback or contacting admin easily accessible,Danny,"10 May, 2021",05 Jan,1,Done
4,168995,A mutual themed apples to apples like game called its mutual,Samuel Ambler,"12 Mar, 2021","23 Jun, '21",1,Not planned
4,285801,Gpsprivacy,None of your beeswax,14 Mar,09 Jul,0,Under consideration
4,272690,Add a spot for special needs people,Justin,19 Jan,07 Jul,0,Under consideration
4,232160,Swipe up feedback,Sid,"12 Nov, 2021",05 Jul,0,Planned
4,220259,Better verification,Ronnie,"28 Sep, 2021",07 Jul,0,Under consideration
4,199469,Connect with others who served in same mission or where you live,Heather Elise Harkness,"25 Jul, 2021",03 Jul,0,Under consideration
4,199400,Make copying text possible at least bios,Delbert,"24 Jul, 2021","17 Dec, '21",0,Under consideration
4,194293,Verify by member record number,Rachel,"28 Jun, 2021",08 Jul,0,Not planned
4,189874,Fix people showing up twice,TJ,"08 Jun, 2021",2 days ago,0,Done
4,187004,No more ghost matches,X,"23 May, 2021",08 Apr,0,Bug
4,186483,Height filter,Ella,"20 May, 2021",07 Jul,0,Done
4,175297,See who has premium,Mary,"31 Mar, 2021","03 May, '21",0,Not planned
3,263612,Delete about me prompts,Cameron,"20 Dec, 2021",17 Feb,3,Under consideration
3,253882,Filter income level,Joel,"04 Dec, 2021",28 May,2,Not planned
3,198980,Delete message,Rosa,"22 Jul, 2021",27 May,2,Under consideration
3,262981,Favorite quote,Nic,"18 Dec, 2021",08 Feb,1,Planned
3,202015,Save message as draft,Zach,"06 Aug, 2021",27 May,1,Under consideration
3,183925,Sort by distance,Alex,"07 May, 2021","10 Aug, '21",1,Not planned
3,306835,How about you give other payment options beside dam google,Randle,10 Jun,05 Jul,0,Planned
3,306328,Filter out inactive or hardly used profiles,Thomas F,08 Jun,05 Jul,0,Planned
3,303534,Auto correctgrammer check while writing your message,Stuart Bailey,29 May,06 Jul,0,Bug
3,299626,Three strikes youre out,JJ,13 May,2 days ago,0,Done
3,278948,Run out of suggested,Stefanie,10 Feb,03 May,0,Bug
3,251980,Voice memo included in bio with prompt question,Adam Garaycochea,"29 Nov, 2021",07 Jul,0,Under consideration
3,202351,Diversify your app store ad pictures,Sarah,"09 Aug, 2021","17 Dec, '21",0,Planned
3,201602,Notifications go away from your notification bar if youve opened the app,K,"04 Aug, 2021",19 Jun,0,Bug
3,200947,Make more moneys,Brenton Kloepfer,"31 Jul, 2021","17 Dec, '21",0,Under consideration
3,195353,Give referral,Jacob,"04 Jul, 2021","17 Dec, '21",0,Done
3,195213,Hide someones profile from your account,Courtney,"02 Jul, 2021","25 Dec, '21",0,Done
3,194730,Separate notification types,Alan,"30 Jun, 2021",27 May,0,Planned
3,193047,Take out blur factor,Eden,"21 Jun, 2021","17 Dec, '21",0,Under consideration
3,192615,Put people who have liked me in the front of my feed,Chad,"19 Jun, 2021","24 Jul, '21",0,Done
3,190517,Tag match ratios,Jared,"10 Jun, 2021","25 Aug, '21",0,Under consideration
3,189753,Dont start showing my halfcreated profile until i tell you im done with it,Kendra,"08 Jun, 2021",2 days ago,0,Bug
3,188393,Poke or reminder notification,James,"01 Jun, 2021","14 Jul, '21",0,Done
3,187899,Make it easier to use the date calendar to put in your birthdate,Shawn,"28 May, 2021","25 Nov, '21",0,Under consideration
3,186904,Suggestions,Steven Hyatt,"22 May, 2021","23 Jun, '21",0,Bug
3,186471,Remove non active account,Radeb,"19 May, 2021",2 days ago,0,Done
3,186420,Pin profile,Owen,"19 May, 2021",08 Feb,0,Under consideration
3,185706,Fisher interest tag,Sarah,"16 May, 2021",03 Jul,0,Under consideration
3,184920,Fix mexicos line,Kellen DeAlba,"12 May, 2021",03 Jul,0,Under consideration
3,183203,Display distance,DJ,"03 May, 2021","26 Jun, '21",0,Not planned
3,182927,Dont allow blurry pictures,Lynette Olsen,"01 May, 2021",12 Mar,0,Not planned
3,182641,Location in english,Theo,"29 Apr, 2021",03 Jul,0,Planned
3,180019,Stop scrolling to the top after click on a conversation and hit the back button,Gianny Ice,"18 Apr, 2021",09 Jun,0,Bug
2,310243,Get premium message in red,Andrea,22 Jun,22 Jun,2,In Development
2,287457,Purchased notes fail,Jon,23 Mar,23 Mar,2,Bug
2,269463,See whos in your general area,Ty,07 Jan,15 Apr,1,Not planned
2,263544,Freeze profilematches,KJ,"19 Dec, 2021",07 Jul,1,Done
2,263297,Comment on peoples photos,Nicholas allen,"19 Dec, 2021",16 Jan,1,Planned
2,221738,Add a date andor version number when suggestions get added,Taylor,"05 Oct, 2021",03 Jul,1,Done
2,195218,Height in high heals,Linda Manqana,"02 Jul, 2021",16 Jan,1,Not planned
2,170171,Bug on the verification,Mel,"16 Mar, 2021",03 Jul,1,Planned
2,169988,Por favor pongan el precio de la aplicacion segun el pais eso ayudaria mucho,JosÃ© GÃ³mez,"16 Mar, 2021","04 Jul, '21",1,Bug
2,308312,Unmatch no reason option,Amanda Fisher,15 Jun,07 Jul,0,In Development
2,308219,Make sending a note or comment required to send a like,Patrick,15 Jun,07 Jul,0,Under consideration
2,308118,Dont make photos full screen,lana,14 Jun,2 days ago,0,Not planned
2,302990,Clean slate,James Franckum,27 May,03 Jul,0,Done
2,297801,Send a mutual dates suggestion in a note,Joshua,05 May,2 days ago,0,Under consideration
2,296298,Change the x to something else,Maz,29 Apr,09 Jul,0,Under consideration
2,293650,Badge if someone is on mutualup,Adam,17 Apr,11 Jun,0,Under consideration
2,288069,Save conversations,Bee,25 Mar,09 Jul,0,Planned
2,286802,Liking or hearting individual photos,Caio,19 Mar,2 days ago,0,Done
2,277445,Move bring everyone back away from undo last action it has wasted so many hours ,Robbie,03 Feb,05 Jul,0,Planned
2,253888,Filter career type,Joel,"04 Dec, 2021",28 May,0,Under consideration
2,252702,Getting notifications about when someone votes on your suggestion,Jonathan Hansen,"02 Dec, 2021","17 Dec, '21",0,Under consideration
2,229852,Move to archive,Hayden,"03 Nov, 2021",28 Feb,0,Under consideration
2,228666,Communities,Moses Lotulelei,"27 Oct, 2021",05 Jan,0,Under consideration
2,221465,Chat refresh,Austin,"03 Oct, 2021","12 Nov, '21",0,In Development
2,220166,New update,ClassyLady,"28 Sep, 2021","17 Oct, '21",0,Under consideration
2,216093,Mark messages as unread again,Mayci,"19 Sep, 2021","06 Nov, '21",0,Under consideration
2,205017,Inactive accounts,andrade,"28 Aug, 2021","12 Nov, '21",0,Done
2,204124,Potentially pending,Jackson,"23 Aug, 2021","17 Dec, '21",0,Done
2,203820,Make the ward hop indicator on a profile clearer,Tay,"19 Aug, 2021","29 Dec, '21",0,Under consideration
2,200575,Paid user or not,David,"28 Jul, 2021",16 Jan,0,Not planned
2,199309,Bug multiple of the same profile,Jackson,"23 Jul, 2021",26 Jun,0,Bug
2,198661,Only have suggested people in the age range i chose,Kell,"20 Jul, 2021","06 Aug, '21",0,Bug
2,197641,Being back lucky you,Mike,"13 Jul, 2021",03 Jul,0,Bug
2,197244,Swiped up by mistake,Robert Hernandez,"09 Jul, 2021",07 Jul,0,Done
2,195352,Select age range,Monica,"04 Jul, 2021","06 Aug, '21",0,Done
2,195211,How many times someone has viewed your profile,Courtney,"02 Jul, 2021",07 Jul,0,Not planned
2,194183,5 swipe ups for 1 revealed like,Rodrigo Anselmo Maciel,"26 Jun, 2021",07 Jul,0,Not planned
2,194105,Being able to select specific countries,Rebecca,"26 Jun, 2021",03 Jul,0,Done
2,194008,This group is awesome,Jackline Akao,"25 Jun, 2021","07 Aug, '21",0,Done
2,192604,Swipe up on all button,Chad,"19 Jun, 2021","24 Jun, '21",0,Under consideration
2,192540,Outside preferred radius,Moses,"18 Jun, 2021",07 Jul,0,Done
2,190903,Fix instagram photos,Anonymous,"12 Jun, 2021","24 Nov, '21",0,Bug
2,189233,See when your message is seen,Joseph Uzoho,"05 Jun, 2021","01 Aug, '21",0,Done
2,187200,Tutorial,Sweet Sue,"25 May, 2021","23 Jun, '21",0,In Development
2,184450,Calendar feature,Kat,"10 May, 2021","23 Jun, '21",0,Not planned
2,182877,A wall to talk like on facebook,Grace-Caroline,"30 Apr, 2021",07 Jul,0,Not planned
2,181427,Fix filter distance,Gustavo Reyes,"24 Apr, 2021",02 Apr,0,Bug
2,175958,Unlimited blocks,Cory,"02 Apr, 2021","09 May, '21",0,Bug
2,174982,Create a support for huawei app gallery,EfraÃ­m LÃ³pez CÃ³rdoba,"30 Mar, 2021","10 May, '21",0,Under consideration
1,267770,Activate profile boost button is not working,Isabel,"31 Dec, 2021","31 Dec, '21",1,Done
1,184202,See my profile,Alexa,"08 May, 2021","08 May, '21",1,Done
1,183059,See if theyve seen your message,Will,"03 May, 2021","03 May, '21",1,Done
1,308723,Notifications on chat tab back to how many unread you have rather than how many ,Quincey,16 Jun,16 Jun,0,In Development
1,308178,Text size,Kami,14 Jun,14 Jun,0,Under consideration
1,308167,See new message while in mutual,Desiree,14 Jun,14 Jun,0,Done
1,307616,Reset all swipe ups just not those youve messaged,Christopher,12 Jun,12 Jun,0,Done
1,307288,Work on conversation glitch,Allie,11 Jun,11 Jun,0,Done
1,307254,Show a countdown until you get more swipes,Jonathan Hansen,11 Jun,11 Jun,0,Planned
1,307040,Move name location age on profile photo to lower screen,Anne,10 Jun,10 Jun,0,Not planned
1,306136,Deactivate accounts not being actively used,Spencer,07 Jun,07 Jun,0,Done
1,302955,Randomized question,Austin,26 May,26 May,0,Under consideration
1,296677,Adjustable independent profile picturethumbnail,James,01 May,01 May,0,Planned
1,291760,Punch in boxes for preferences,Makayla,08 Apr,08 Apr,0,Under consideration
1,286081,Messages wont send,Dallas,15 Mar,15 Mar,0,Bug
1,285758,Bountiful mode 15 bounty to whoever can set you up on a good date,Steve,13 Mar,13 Mar,0,Not planned
1,285154,Change i am currently to be more specific,E,10 Mar,10 Mar,0,Under consideration
1,284146,Store all messages,JoAnn Brooks,05 Mar,05 Mar,0,Done
1,283958,Additional about me entry,Robert,04 Mar,04 Mar,0,Under consideration
1,281777,Put peoples zodiac sign on their profile,Foster Pratt,21 Feb,21 Feb,0,Under consideration
1,252637,Read receipts,Daniel,"02 Dec, 2021","02 Dec, '21",0,Done
1,234587,Fix add photo and connect instagram bug,Morgan Van Roosendaal,"24 Nov, 2021","24 Nov, '21",0,Bug
1,233539,Unlimited chat history,Craig Rodgers,"19 Nov, 2021","19 Nov, '21",0,Done
1,232732,Event changes or opt out,Cottam,"15 Nov, 2021","15 Nov, '21",0,Planned
1,232611,Please fix congrats its your lucky day,Mike,"15 Nov, 2021","15 Nov, '21",0,Bug
1,212310,Double check feature before sending a note,Martin,"09 Sep, 2021","09 Sep, '21",0,In Development
1,212007,See if they actually have seen your message,Karli,"08 Sep, 2021","08 Sep, '21",0,Done
1,205541,Make it when you unmatch you stay in the matchmessages screen,Matt,"29 Aug, 2021","29 Aug, '21",0,Bug
1,204825,Lower the minimum distance,Jacob,"27 Aug, 2021","27 Aug, '21",0,Under consideration
1,200916,Only show people who have the same or higher ratio of likes to dislikes,Picky Swiper,"30 Jul, 2021","30 Jul, '21",0,Under consideration
1,200552,Share this profile doesnt work,Tai,"28 Jul, 2021","28 Jul, '21",0,Bug
1,200162,Fix watch ad to undo option,Paige,"27 Jul, 2021","27 Jul, '21",0,Bug
1,200115,Range of age,Becca,"26 Jul, 2021","26 Jul, '21",0,Done
1,196186,Hacer un encuentro por ciudades,Belkis Mercedes,"06 Jul, 2021","06 Jul, '21",0,Done
1,194556,Enviar mensagem direta antes de macth mutuo vendo anuncio,Saulo Costa de Oliveira,"29 Jun, 2021","29 Jun, '21",0,Done
1,193357,Fix feed,M franco,"23 Jun, 2021","23 Jun, '21",0,Bug
1,193355,Fix matches ive never approved of,M franco,"23 Jun, 2021","23 Jun, '21",0,Bug
1,190199,Messages,G,"09 Jun, 2021","09 Jun, '21",0,Done
1,189058,Viajes a distintos paises,Yanina,"04 Jun, 2021","04 Jun, '21",0,Bug
1,187811,When i leave a conversation dont jump back to the top,Swaggy Shaggs,"27 May, 2021","27 May, '21",0,Bug
1,186869,Add the word peru,Steven Spainhower,"22 May, 2021","22 May, '21",0,Bug
1,183884,Yes i already paid for this site but when i got new phone now i cant see who lik,Edward Davis,"06 May, 2021","06 May, '21",0,Bug
1,183875,Ideal timeline,Sassafrass,"06 May, 2021","06 May, '21",0,Not planned
1,183419,Pin matches from archives,Brett,"04 May, 2021","04 May, '21",0,Bug
