,Estacion,Propietario,Operador,Región,Provincia,Comuna,Coordenadas UTM,Huso horario,Recepción de datos,Inicio de operación reportada,URL,Estacion_id,Fin de operación reportada
158,Calabozo,Colbún S.A,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Coronel,668730 E 5903504 N,18,en línea,2008-01-15,https://sinca.mma.gob.cl/index.php/estacion/index/id/118,118,
73,Camisas,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Salamanca,315066 E 6471115 N,19,carga manual,2007-01-09,https://sinca.mma.gob.cl/index.php/estacion/index/id/8,8,
94,Campiche,Puerto Ventanas S.A,SK Ecología S.A.,de Valparaíso,Valparaíso,Puchuncaví,270343 E 6375300 N,19,en línea,2000-06-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/182,182,
134,Casas de Peuco,Colbún S.A,Serpram S.A,del Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,348550 E 6241714 N,19,carga manual,2004-01-21,https://sinca.mma.gob.cl/index.php/estacion/index/id/58,58,
80,Catemu,Fundicion Chagres de Anglo American Sur S.A.,CESMEC S.A,de Valparaíso,San Felipe de Aconcagua,Catemu,316512 E 6371481 N,19,en línea,1994-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/165,165,
130,Cauquenes,Codelco Divsión El Teniente,"Codelco División El Teniente, Superintendencia Ingeniería Fundición",del Libertador General Bernardo O'Higgins,Cachapoal,Machalí,356722 E 6209574 N,19,en línea,2000-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/173,173,
142,Cauquenes Sivica,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Cauquenes,Cauquenes,741947 E 6016660 N,18,en línea,2021-03-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/287,287,
178,Cayumanqui,Celulosa Arauco y Constitución,CESMEC S.A,del Biobío,Ñuble,Quillón,726479 E 5937184 N,18,en línea,2005-05-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/231,231,
108,Central Quintero,ENEL CHILE S.A.,Servicios y Proyectos Ambientales S.A,de Valparaíso,Valparaíso,Quintero,267262 E 6369644 N,19,en línea,2011-10-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/129,129,
32,Centro,Electroandina S.A.,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Tocopilla,Tocopilla,376516 E 7556334 N,19,carga manual,2004-03-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/128,128,
106,Centro Quintero,GNL Quintero,SGS Chile Ltda.,de Valparaíso,Valparaíso,Quintero,262853 E 6369407 N,19,en línea,2008-03-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/204,204,
115,Cerrillos I,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Cerrillos,340277 E 6292747 N,19,carga manual,1997-04-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/116,116,
114,Cerrillos II,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Cerrillos,341687 E 6292449 N,19,en línea,2022-04-29,https://sinca.mma.gob.cl/index.php/estacion/index/id/290,290,
157,Cerro Merquín,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Coronel,664607 E 5901176 N,18,en línea,2009-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/227,227,
116,Cerro Navia,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Cerro Navia,338984 E 6299360 N,19,en línea,2001-03-23,https://sinca.mma.gob.cl/index.php/estacion/index/id/228,228,
69,Chacay,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Los Vilos,350388 E 6478539 N,19,carga manual,2003-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/9,9,
81,Chagres Meteorologia,Fundicion Chagres de Anglo American Sur S.A.,CESMEC S.A,de Valparaíso,San Felipe de Aconcagua,Catemu,31230 E 636645 N,19,en línea,2003-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/131,131,
62,Chepiquilla,Compañía Minera Teck Carmen de Andacollo,Compañia Minera Teck Carmen de Andacollo,de Coquimbo,Elqui,Andacollo,299687 E 6651480 N,19,en línea,2005-01-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/156,156,
7,Chiu Chiu,Codelco Distrito Norte,CIMM Tecnologías y Servicios S.A.,de Antofagasta,El Loa,Calama,535953 E 7529230 N,19,en línea,2008-04-10,https://sinca.mma.gob.cl/index.php/estacion/index/id/234,234,
42,Cine Inca,Celulosa Arauco y Constitución,NO INFORMADO,de Atacama,Chañaral,Diego de Almagro,437589 E 7097133 N,19,carga manual,2001-09-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/38,38,
131,Cipreses,Codelco Divsión El Teniente,"Codelco División El Teniente, Superintendencia Ingeniería Fundición",del Libertador General Bernardo O'Higgins,Cachapoal,Machalí,365276 E 6207829 N,19,en línea,2000-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/246,246,
8,Club Deportivo 23 de Marzo,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,506399 E 7516241 N,19,en línea,2012-10-12,https://sinca.mma.gob.cl/index.php/estacion/index/id/207,207,
175,Club de Empleados,CMPC PULP SpA,Serpram S.A,del Biobío,Biobío,Nacimiento,705393 E 5846899 N,19,en línea,2016-07-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/245,245,
128,Codegua,Colbún S.A,Serpram S.A,del Libertador General Bernardo O'Higgins,Cachapoal,Codegua,346716 E 6233063 N,19,carga manual,2004-01-21,https://sinca.mma.gob.cl/index.php/estacion/index/id/113,113,
74,Coiron,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Salamanca,3331969 E 6469032 N,19,carga manual,2005-03-18,https://sinca.mma.gob.cl/index.php/estacion/index/id/137,137,
9,Colegio Pedro Vergara Keller,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,506893 E 7518227 N,19,en línea,2012-10-12,https://sinca.mma.gob.cl/index.php/estacion/index/id/222,222,
151,Colicheu,AESGENER S.A,Serpram S.A,del Biobío,Biobío,Cabrero,743195 E 5899021 N,18,en línea,2008-09-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/226,226,
85,Colmo,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,271850 E 6354848 N,19,en línea,2002-05-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/177,177,
22,Compañía de Bomberos,Gas Atacama Generación Limitada,CESMEC S.A,de Antofagasta,Antofagasta,Mejillones,351468 E 7444654 N,19,carga manual,1999-06-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/4,4,
86,Concón,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,264784 E 6354247 N,19,en línea,2002-02-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/185,185,
84,Concón MMA,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,de Valparaíso,Valparaíso,Concón,32926225 E 71512431 N,19,en línea,2017-12-15,https://sinca.mma.gob.cl/index.php/estacion/index/id/202,202,
89,Concón sur,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,263631 E 6353317 N,19,carga manual,2002-05-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/140,140,2006-03-01
183,Consultorio - San Vicente,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Talcahuano,667557 E 5934138 N,18,en línea,2009-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/241,241,
197,Consultorio Máfil,Celulosa Arauco y Constitución,Luís Alexis Ortiz Romero,de los Ríos,Valdivia,Máfil,635131 E 5607284 N,19,carga manual,2008-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/126,126,
36,Copiapo Sivica,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Copiapó,369133 E 6971887 N,19,en línea,2013-10-18,https://sinca.mma.gob.cl/index.php/estacion/index/id/176,176,
37,Copiapó,ENAMI Fundición Hernán Videla Lira,Algoritmos y Mediciones Ambientales SpA,de Atacama,Copiapó,Copiapó,368470 E 6972981 N,19,en línea,1992-10-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/223,223,
66,Coquimbo,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Coquimbo,274609 E 6682171 N,19,en línea,2013-12-09,https://sinca.mma.gob.cl/index.php/estacion/index/id/194,194,
159,Coronel Norte,Colbún S.A,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Coronel,664628 E 5902487 N,19,en línea,2005-03-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/280,280,
160,Coronel Sur,Colbún S.A,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Coronel,665556 E 5899980 N,18,en línea,2006-12-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/221,221,
132,Coya Población,"Codelco División El Teniente, Superintendencia Ingeniería Fundición","Codelco División El Teniente, Superintendencia Ingeniería Fundición",del Libertador General Bernardo O'Higgins,Cachapoal,Machalí,359047 E 6214212 N,19,en línea,1996-07-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/225,225,
210,Coyhaique,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,Aysén del General Carlos Ibáñez del Campo,Coihaique,Coyhaique,729281 E 4948421 N,18,en línea,2007-03-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/238,238,
211,Coyhaique II,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,Aysén del General Carlos Ibáñez del Campo,Coihaique,Coyhaique,730152 E 4948488 N,18,en línea,2013-09-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/264,264,
100,Cuerpo de Bomberos ,Central Termoelectrica Nehuenco,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Quillota,Quillota,289762 E 6359166 N,19,en línea,1998-11-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/141,141,
72,Cuncumen ,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Choapa,Salamanca,345907 E 6470680 N,19,en línea,2007-01-09,https://sinca.mma.gob.cl/index.php/estacion/index/id/257,257,
143,Curicó,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Curicó,Curicó,296068 E 6127456 N,19,en línea,2012-06-22,https://sinca.mma.gob.cl/index.php/estacion/index/id/269,269,
43,Doña Ines,Codelco Divsión El Salvador,NO INFORMADO,de Atacama,Chañaral,Diego de Almagro,452032 E 7076284 N,19,carga manual,1999-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/114,114,
50,EME F,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,282486 E 6849125 N,19,en línea,2000-09-06,https://sinca.mma.gob.cl/index.php/estacion/index/id/205,205,
51,EME M,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,282763 E 6848691 N,19,en línea,2000-09-06,https://sinca.mma.gob.cl/index.php/estacion/index/id/175,175,
52,EME ME,GUACOLDA ENERGIA S.A.,CESMEC S.A,de Atacama,Huasco,Huasco,279008 E 6849199 N,19,en línea,2000-09-06,https://sinca.mma.gob.cl/index.php/estacion/index/id/163,163,
168,ENAP Price,ENAP,CESMEC S.A,del Biobío,Concepción,Hualpén,667819 E 5926622 N,18,en línea,2008-08-21,https://sinca.mma.gob.cl/index.php/estacion/index/id/105,105,
144,El Boldo,SEREMI de Salud de la Región del Maule,Seremi de Salud Región del Maule,del Maule,Curicó,Curicó,296399 E 6127751 N,19,carga manual,2007-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/53,53,
117,El Bosque,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,El Bosque,345313 E 6286825 N,19,en línea,1997-04-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/260,260,
70,El Mauro,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Los Vilos,310031 E 6460710 N,19,carga manual,2006-05-03,https://sinca.mma.gob.cl/index.php/estacion/index/id/15,15,
63,El Sauce,Compañía Minera Dayton,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Andacollo,298447 E 6653538 N,19,en línea,2006-07-04,https://sinca.mma.gob.cl/index.php/estacion/index/id/150,150,
203,Entre Lagos,Ministerio del Medio Ambiente,"CENMA, Centro Nacional del Medio Ambiente",de los Lagos,Osorno,Osorno,196063 E 5490100 N,18,carga manual,2011-06-16,https://sinca.mma.gob.cl/index.php/estacion/index/id/111,111,2011-08-23
176,Entre Ríos,CMPC PULP SpA,Serpram S.A,del Biobío,Biobío,Nacimiento,706873 E 5846693 N,18,en línea,2008-10-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/76,76,
161,"Escuadron, ENEL",Enel Generacion Chile S.A.,Serpram S.A,del Biobío,Concepción,Coronel,664643 E 5908666 N,18,en línea,2017-11-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/286,286,
162,"Escuadron, ENESA",Electrica Nueva Energia S.A.,,del Biobío,Concepción,Coronel,664532 E 5910874 N,18,en línea,2014-05-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/283,283,
31,Escuela E-10,Electroandina S.A.,Mayti SpA,de Antofagasta,Tocopilla,Tocopilla,377352 E 7557219 N,19,en línea,2009-04-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/274,274,
33,Escuela E-12,Norgener S.A,CIMM Tecnologías y Servicios S.A.,de Antofagasta,Tocopilla,Tocopilla,376731 E 7556849 N,19,carga manual,2004-06-12,https://sinca.mma.gob.cl/index.php/estacion/index/id/39,39,
34,Escuela Gabriela Mistral,Norgener S.A,CIMM Tecnologías y Servicios S.A.,de Antofagasta,Tocopilla,Tocopilla,376518 E 7556323 N,19,carga manual,2004-06-12,https://sinca.mma.gob.cl/index.php/estacion/index/id/130,130,
10,Estación Centro,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,507389 E 7516053 N,19,en línea,2013-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/275,275,
23,Ferrocarriles,EDELNOR S.A.,SGS Chile Ltda.,de Antofagasta,Antofagasta,Mejillones,350205 E 7444908 N,19,carga manual,1997-01-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/66,66,
198,Fundo La Ribera,Celulosa Arauco y Constitución,Luís Alexis Ortiz Romero,de los Ríos,Valdivia,Máfil,678287 E 5620971 N,19,carga manual,2008-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/49,49,
28,Gobernación,Norgener S.A,CESMEC S.A,de Antofagasta,Tocopilla,Tocopilla,376284 E 7556725 N,19,en línea,2011-10-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/270,270,
64,Hospital,Compañía Minera Dayton,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Andacollo,299236 E 6654140 N,19,en línea,2006-02-22,https://sinca.mma.gob.cl/index.php/estacion/index/id/268,268,
18,Hospital,SQM Industrial S.A.,SQM Industrial S.A.,de Antofagasta,Tocopilla,María Elena,509243 E 7516913 N,19,carga manual,1997-04-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/68,68,
11,Hospital el Cobre,Codelco Distrito Norte,SGS Chile Ltda.,de Antofagasta,El Loa,Calama,509239 E 7516917 N,19,en línea,2002-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/124,124,
75,Hotel Mina,Minera Los Pelambres,SGS Chile Ltda.,de Coquimbo,Choapa,Salamanca,354828 E 6482864 N,19,carga manual,2003-05-07,https://sinca.mma.gob.cl/index.php/estacion/index/id/16,16,
170,Hualqui,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Hualqui,684073 E 5905626 N,18,en línea,2009-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/242,242,
53,Huasco II,Compañia Minera del Pacifico,Serpram S.A,de Atacama,Huasco,Huasco,281581 E 6849067 N,19,en línea,2013-08-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/179,179,
48,Huasco Sivica,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Atacama,Huasco,Huasco,282682 E 6848727 N,19,en línea,2014-02-07,https://sinca.mma.gob.cl/index.php/estacion/index/id/219,219,
154,"INIA, Chillán",Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Ñuble,Chillán,760382 E 5946127 N,18,en línea,2004-05-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/215,215,
19,Iglesia,SQM Industrial S.A.,SQM Industrial S.A.,de Antofagasta,Tocopilla,María Elena,431963 E 7528848 N,19,carga manual,1997-04-02,https://sinca.mma.gob.cl/index.php/estacion/index/id/2,2,
118,Independencia,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Independencia,346488 E 6300681 N,19,en línea,1997-03-07,https://sinca.mma.gob.cl/index.php/estacion/index/id/272,272,
186,Indura,ENAP,CESMEC S.A,del Biobío,Concepción,Talcahuano,668339 E 5928983 N,18,en línea,2004-07-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/104,104,
187,Inpesca,ENAP,CESMEC S.A,del Biobío,Concepción,Talcahuano,669252 E 5932595 N,18,en línea,2004-07-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/209,209,
44,Intelec,Codelco Divsión El Salvador,NO INFORMADO,de Atacama,Chañaral,Diego de Almagro,440479 E 7094145 N,19,carga manual,2004-01-18,https://sinca.mma.gob.cl/index.php/estacion/index/id/44,44,
169,JUNJI,ENAP,CESMEC S.A,del Biobío,Concepción,Hualpén,668154 E 5927794 N,18,en línea,2004-07-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/43,43,
20,Jardín Infantil Integra,ENAEX S.A. Planta Prillex América,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Antofagasta,Mejillones,352064 E 7444407 N,19,en línea,2000-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/1,1,
21,Juan Jose Latorre,ENAEX S.A. Planta Prillex América,Algoritmos y Mediciones Ambientales SpA,de Antofagasta,Antofagasta,Mejillones,352346 E 7444100 N,19,en línea,2010-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/279,279,
87,Junta de Vecinos,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,263944 E 6353098 N,19,en línea,2002-05-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/89,89,
156,Kingston College,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Concepción,673817 E 5927247 N,18,en línea,2009-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/261,261,
78,La Calera,NO INFORMADO,NO INFORMADO,de Valparaíso,Quillota,Calera,294940 E 6370730 N,19,carga manual,1999-06-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/7,7,
77,"La Cruz, Colbún",Enel,NO INFORMADO,de Valparaíso,Quillota,Calera,291759 E 6363531 N,19,carga manual,2008-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/13,13,
90,"La Cruz, Melón",Cementos Melon S.A.,NO INFORMADO,de Valparaíso,Quillota,La Cruz,291464 E 6367285 N,19,carga manual,2003-12-23,https://sinca.mma.gob.cl/index.php/estacion/index/id/14,14,
119,La Florida,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,La Florida,352504 E 6290304 N,19,en línea,1997-03-24,https://sinca.mma.gob.cl/index.php/estacion/index/id/262,262,
146,La Florida,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Talca,Talca,256889 E 6075395 N,19,en línea,2004-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/276,276,
95,La Greda,Codelco División Ventanas- AESGENER.S.A,SGS Chile Ltda.,de Valparaíso,Valparaíso,Puchuncaví,268185 E 6373910 N,19,en línea,1992-07-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/278,278,
101,La Palma,Central Termoelectrica Nehuenco,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Quillota,Quillota,2933302 E 6358631 N,19,en línea,2004-11-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/142,142,
120,La Pintana,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,La Pintana,348555 E 6279245 N,19,carga manual,2002-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/289,289,
67,La Serena,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Coquimbo,Elqui,Coquimbo,282211 E 6687896 N,19,en línea,2013-12-10,https://sinca.mma.gob.cl/index.php/estacion/index/id/95,95,
196,La Union,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,de los Ríos,Ranco,La Unión,663446 E 5538659 N,19,en línea,2017-10-05,https://sinca.mma.gob.cl/index.php/estacion/index/id/180,180,
163,"Lagunillas, ENEL",Enel Generacion Chile S.A.,Serpram S.A,del Biobío,Concepción,Coronel,664362 E 5905258 N,18,en línea,2009-09-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/285,285,
171,Laja,CMPC PULP SpA,Serpram S.A,del Biobío,Biobío,Laja,702974 E 5872964 N,19,en línea,2005-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/119,119,
121,Las Condes,Ministerio del Medio Ambiente,Ministerio del Medio Ambiente,Metropolitana de Santiago,Santiago,Las Condes,358305 E 6305906 N,19,en línea,1997-04-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/239,239,
192,Las Encinas Temuco,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de La Araucanía,Cautín,Temuco,706767 E 5708420 N,18,en línea,1999-12-31,https://sinca.mma.gob.cl/index.php/estacion/index/id/186,186,
88,Las Gaviotas,ENAP,SGS Chile Ltda.,de Valparaíso,Valparaíso,Concón,267940 E 6355336 N,19,en línea,2002-05-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/193,193,
177,Lautaro,CMPC PULP SpA,Serpram S.A,del Biobío,Biobío,Nacimiento,707166 E 5846063 N,18,en línea,2008-10-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/213,213,
184,Libertad,Sub Secretaría del Medio Ambiente,Sub Secretaria del Medio Ambiente,del Biobío,Concepción,Talcahuano,132748 E 5928589 N,19,carga manual,2000-06-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/127,127,2009-06-30
189,Liceo Polivalente,Sub Secretaría del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Biobío,Concepción,Tomé,682597 E 5947369 N,18,en línea,2009-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/195,195,
145,Linares,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,del Maule,Linares,Linares,265805 E 6031030 N,19,en línea,2015-04-30,https://sinca.mma.gob.cl/index.php/estacion/index/id/181,181,
92,Lo Campo,Fundicion Chagres de Anglo American Sur S.A.,CESMEC S.A,de Valparaíso,San Felipe de Aconcagua,Panquehue,322275 E 6369529 N,19,en línea,1994-01-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/210,210,
107,Loncura,ENEL CHILE S.A.,Servicios y Proyectos Ambientales S.A,de Valparaíso,Valparaíso,Quintero,266226 E 6368689 N,19,en línea,2011-10-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/208,208,
91,Los Andes,Ministerio del Medio Ambiente,Algoritmos y Mediciones Ambientales SpA,de Valparaíso,Los Andes,Los Andes,351534 E 6364623 N,19,en línea,2007-11-01,https://sinca.mma.gob.cl/index.php/estacion/index/id/266,266,
